TENURE,CREDIT_UTILIZATION,TOTAL_TRX,TOTAL_PURCHASE_FREQUENCY,HIGH_CREDIT_UTILIZER,FULL_PAYMENT_FLAG,BALANCE_PER_MONTH,PURCHASES_PER_MONTH,PAYMENTS_PER_MONTH,outlier
12,0.040900749,2,0.25,0,0,3.40839575,7.95,16.816840333333335,0
12,0.4574953451428571,4,0.0,0,0,266.87228466666664,0.0,341.91938308333334,0
12,0.3326865149333333,12,2.0,0,0,207.92907183333327,64.43083333333333,51.83889516666667,0
12,0.2222227389333333,2,0.166666,0,0,138.88921183333335,124.91666666666669,0.0,0
12,0.6814286125,1,0.166666,0,0,68.14286125,1.3333333333333333,56.52789691666666,0
12,1.005460417222222,8,1.25,1,0,150.8190625833333,111.10666666666668,116.67148083333332,0
12,0.0464637634074074,64,3.0,0,1,52.271733833333336,590.9175,529.526194,1
12,0.7928924969565218,12,2.0,1,0,151.97106191666668,36.35,56.58875683333333,0
12,0.1449894961428571,5,0.666666,0,0,84.57720608333334,71.79083333333334,57.35654733333333,0
12,0.013838725,3,0.333334,0,0,12.685497916666668,106.8,97.06421591666668,0
12,1.0776041158333334,12,2.0,1,0,107.76041158333334,76.67666666666666,90.27508391666667,0
12,0.315397372,6,0.5,0,0,52.56622866666667,124.34833333333334,58.80155224999999,0
12,0.5056428733333334,26,2.166667,0,0,126.41071833333332,268.1658333333333,50.68864075,0
12,0.1228924491999999,26,1.666667,0,0,76.80778074999999,178.16083333333333,137.99095291666666,0
12,0.924257578,1,0.0,1,0,231.0643945,0.0,67.13733116666667,0
12,0.860776653875,15,1.0,1,0,573.8511025833333,134.30833333333334,166.11993975,0
8,0.6906914513333333,3,0.0,0,0,259.00929425,0.0,48.99682025,0
12,0.0164357956,8,0.75,0,0,3.424124083333333,43.25,21.2158885,0
12,0.153005556,9,1.333333,0,0,165.756019,42.02916666666667,143.40311441666668,0
12,0.89449273325,12,2.0,1,0,298.1642444166667,33.22,87.83170533333333,0
12,1.008342343,8,1.333334,1,0,168.05705716666668,14.723333333333334,18.58905,0
12,0.5661805616000001,98,2.916667,0,0,530.7942765,529.9958333333333,173.16325425,1
12,0.0735234666666666,17,2.0,0,0,11.02852,67.99166666666666,196.63582983333333,0
12,0.4222390418888889,26,2.0,0,0,316.6792814166667,354.0291666666667,789.9203201666666,0
11,0.8947618698333334,4,0.0,1,0,488.051929,0.0,129.33879154545454,0
12,0.056593893,12,2.0,0,0,14.14847325,33.300000000000004,17.9421785,0
12,0.9505689647058824,7,0.333334,1,0,134.66393666666667,8.5,74.18157041666667,0
12,0.125694817,12,2.0,0,0,10.474568083333333,19.44,17.314476250000002,0
12,0.6812251782857143,24,1.250001,0,0,596.072031,32.25416666666667,133.45402891666666,0
12,0.0031976072463768,5,0.833334,0,0,1.8386241666666667,8.333333333333334,13.397314416666667,0
12,0.9335553815384616,74,2.166667,1,0,1011.3516633333334,253.1675,352.52695758333334,1
12,0.1937122206666666,47,2.083333,0,0,96.85611033333332,112.30916666666668,53.83319158333333,0
12,0.6412212441904762,6,0.166666,0,0,561.0685886666666,27.079166666666666,143.34323966666668,0
12,0.1047170441666666,11,1.833334,0,0,10.471704416666666,53.06583333333333,35.28747466666667,0
12,0.3197365105454545,14,2.0,0,0,293.0918013333333,45.60666666666666,727.9673195833334,0
12,0.9201948783333334,1,0.0,1,0,138.02923175,0.0,29.29168325,0
11,0.8252307712222222,11,0.0,1,0,675.1888128181819,0.0,148.76014554545455,0
12,0.8094961656,48,2.0,1,0,337.290069,198.3791666666667,134.82453466666666,0
12,0.696602016,14,0.166666,0,0,522.451512,17.0,103.09263841666666,0
12,0.1882136306666666,12,0.166666,0,0,117.63351916666666,80.27,1672.58962,0
12,0.3685821166666667,3,0.0,0,0,55.2873175,0.0,255.5881525,0
12,0.2616299206666667,38,1.333333,0,0,65.40748016666667,127.21583333333332,105.19247216666668,0
12,0.9121579551111112,1,0.166666,1,0,342.0592331666667,16.985,72.35627291666667,0
12,0.9071615846666669,1,0.0,1,0,113.39519808333334,0.0,31.524518916666665,0
12,0.625405364,20,2.333333,0,0,442.9954661666666,127.12,119.19512508333334,0
12,0.9342965358333334,7,0.749999,1,0,186.85930716666667,36.41666666666666,0.0,0
8,0.2790865582352941,4,0.625,0,0,59.305893625,13.7175,22.001625625,0
12,0.930978865952381,7,0.0,1,0,325.84260308333336,0.0,0.0,0
12,0.0696567209090909,87,2.666667,0,0,19.15559825,199.21666666666667,211.99612991666663,0
12,0.21595245825,5,0.333334,0,0,71.98415275,42.29166666666666,48.98887091666666,0
8,0.4109443214166667,46,1.25,0,0,616.416482125,112.6775,1014.16216825,1
12,0.4315554259999999,18,1.75,0,0,89.90738041666667,258.9875,116.65236166666666,0
12,0.4473374568571428,3,0.0,0,0,130.47342491666666,0.0,57.652106583333335,0
9,0.1548913853333333,12,1.333334,0,0,51.630461777777775,219.91333333333333,345.56141577777777,0
12,0.0066605169999999,8,1.333334,0,0,0.5550430833333333,25.83333333333333,34.75139691666667,0
12,0.2186659973333333,6,0.5,0,0,109.33299866666664,106.99166666666667,0.0,0
12,0.9063045365,9,0.5,1,0,302.1015121666667,26.105833333333333,0.0,0
12,0.3181774172,42,2.333334,0,0,198.86088575,434.8016666666667,473.22746775,0
11,0.99278469125,3,0.0,1,0,361.012615,0.0,69.53988436363636,0
12,0.9156506766666668,10,0.75,1,0,457.8253383333333,19.08333333333333,175.87975191666666,0
12,0.2890944666153846,2,0.333334,0,0,156.59283608333334,9.416666666666666,292.4738800833333,0
12,0.972371063125,1,0.166666,1,0,129.64947508333333,5.516666666666667,28.173638416666662,0
11,0.1950802356626506,7,0.0,0,0,73.59845254545455,0.0,397.4680589090909,0
12,0.0044702225,1,0.166666,0,0,0.5960296666666667,70.0,0.0,0
12,1.0399388135135137,65,2.0,1,0,160.32390041666667,157.30333333333334,307.3371665,0
12,0.976699992777778,11,1.083333,1,0,146.50499891666666,34.36083333333333,64.78763733333334,0
8,0.5398983033333333,1,0.0,0,0,101.230931875,0.0,18.259346125,0
12,0.6305220116,6,0.0,0,0,131.35875241666668,0.0,45.00185208333334,0
12,0.6650872631666667,8,1.333333,0,0,332.54363158333337,21.95833333333333,573.06968375,0
12,0.9996679329411764,4,0.666666,1,0,141.61962383333335,113.64083333333332,135.318029,0
12,0.8780293958400001,15,1.75,1,0,457.306977,34.925000000000004,107.35124241666666,0
12,0.4272031694285714,60,1.75,0,0,249.2018488333333,376.9391666666667,2352.7245383333334,1
8,0.0937161442857142,3,0.0,0,0,82.00162625,0.0,113.807248125,0
