TENURE,CREDIT_UTILIZATION,TOTAL_TRX,TOTAL_PURCHASE_FREQUENCY,AVG_PAYMENT,HIGH_CREDIT_UTILIZER,FULL_PAYMENT_FLAG,BALANCE_PER_MONTH,PURCHASES_PER_MONTH,PAYMENTS_PER_MONTH
12,0.040900749,2,0.25,16.816840333333335,0,0,3.40839575,7.95,16.816840333333335
12,0.4574953451428571,4,0.0,341.91938308333334,0,0,266.87228466666664,0.0,341.91938308333334
12,0.33268651493333334,12,2.0,51.83889516666667,0,0,207.92907183333332,64.43083333333333,51.83889516666667
12,0.22222273893333333,2,0.166666,0.0,0,0,138.88921183333335,124.91666666666667,0.0
12,0.6814286125,1,0.166666,56.52789691666666,0,0,68.14286125,1.3333333333333333,56.52789691666666
12,1.0054604172222221,8,1.25,116.67148083333332,1,0,150.81906258333333,111.10666666666667,116.67148083333332
12,0.046463763407407405,64,3.0,529.526194,0,1,52.271733833333336,590.9175,529.526194
12,0.7928924969565218,12,2.0,56.58875683333333,1,0,151.97106191666668,36.35,56.58875683333333
12,0.14498949614285714,5,0.666666,57.35654733333333,0,0,84.57720608333334,71.79083333333334,57.35654733333333
12,0.013838725,3,0.333334,97.06421591666667,0,0,12.685497916666668,106.8,97.06421591666667
12,1.0776041158333334,12,2.0,90.27508391666667,1,0,107.76041158333334,76.67666666666666,90.27508391666667
12,0.315397372,6,0.5,58.80155224999999,0,0,52.56622866666667,124.34833333333334,58.80155224999999
12,0.5056428733333334,26,2.166667,50.68864075,0,0,126.41071833333332,268.1658333333333,50.68864075
12,0.12289244919999999,26,1.666667,137.99095291666666,0,0,76.80778074999999,178.16083333333333,137.99095291666666
12,0.9242575780000001,1,0.0,67.13733116666667,1,0,231.06439450000002,0.0,67.13733116666667
12,0.860776653875,15,1.0,166.11993975,1,0,573.8511025833333,134.30833333333334,166.11993975
8,0.6906914513333333,3,0.0,48.99682025,0,0,259.00929425,0.0,48.99682025
12,0.0164357956,8,0.75,21.215888500000002,0,0,3.4241240833333335,43.25,21.215888500000002
12,0.153005556,9,1.333333,143.40311441666668,0,0,165.756019,42.02916666666667,143.40311441666668
12,0.89449273325,12,2.0,87.83170533333333,1,0,298.1642444166667,33.22,87.83170533333333
12,1.008342343,8,1.333334,18.58905,1,0,168.05705716666668,14.723333333333334,18.58905
12,0.5661805616000001,98,2.916667,173.16325425,0,0,530.7942765,529.9958333333333,173.16325425
12,0.07352346666666666,17,2.0,196.63582983333333,0,0,11.02852,67.99166666666666,196.63582983333333
12,0.4222390418888889,26,2.0,789.9203201666666,0,0,316.6792814166667,354.0291666666667,789.9203201666666
11,0.8947618698333334,4,0.0,129.33879154545454,1,0,488.05192900000003,0.0,129.33879154545454
12,0.056593893,12,2.0,17.9421785,0,0,14.14847325,33.300000000000004,17.9421785
12,0.9505689647058824,7,0.333334,74.18157041666667,1,0,134.66393666666667,8.5,74.18157041666667
12,0.12569481700000001,12,2.0,17.314476250000002,0,0,10.474568083333333,19.44,17.314476250000002
12,0.6812251782857143,24,1.2500010000000001,133.45402891666666,0,0,596.072031,32.25416666666667,133.45402891666666
12,0.0031976072463768116,5,0.833334,13.397314416666667,0,0,1.8386241666666667,8.333333333333334,13.397314416666667
12,0.9335553815384615,74,2.166667,352.52695758333334,1,0,1011.3516633333334,253.16750000000002,352.52695758333334
12,0.19371222066666666,47,2.083333,53.83319158333333,0,0,96.85611033333333,112.30916666666667,53.83319158333333
12,0.6412212441904762,6,0.166666,143.34323966666668,0,0,561.0685886666666,27.079166666666666,143.34323966666668
12,0.10471704416666668,11,1.833334,35.28747466666667,0,0,10.471704416666666,53.06583333333333,35.28747466666667
12,0.31973651054545454,14,2.0,727.9673195833334,0,0,293.0918013333333,45.60666666666666,727.9673195833334
